"","trp1_l61_2mM","his1_l61_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,158,8,142.138907784315,-0.307096223554102,0.368375374965681,0.163604341593295,NA
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,162,5,126.556239631618,-0.316260544649341,0.377172360417014,0.15212489300444,NA
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,193,11,144.550942115769,-0.145601790034023,0.390885243396863,0.475827932464694,NA
"DBD:Jerala_P7:AD:Jerala_P5",3027,221,63,14,173.363072169428,0.153026640896043,0.353840988457356,0.472285632416394,NA
"DBD:Jerala_P7:AD:Jerala_P6",2176,157,140,4,125.521074614926,-0.30281894198912,0.364153230556088,0.169254715357369,NA
"DBD:Jerala_P7:AD:Jerala_P7",1564,144,68,1,75.9405231801392,-0.108839067877925,0.422164507201691,0.572423570770641,NA
"DBD:Jerala_P7:AD:Jerala_P8",2019,3266,92,2263,11410.8209984733,7.28420196601931,1.05956091494935,3.10748825454408e-12,1.75149337983393e-11
"DBD:Jerala_P7:AD:Jerala_P9",2028,141,160,11,160.278992298881,-0.14515317110157,0.347137705428647,0.496968636996016,NA
"DBD:Jerala_P7:AD:Jerala_P10",1334,124,58,3,75.225897534413,-0.0385046678579668,0.401692304491027,0.842441841992901,NA
"DBD:Jerala_P7:AD:Jerala_P11",2102,1348,92,5,307.977157021077,0.841691075061592,0.827924195869976,0.0115254252021815,0.0340274458350122
"DBD:Jerala_P7:AD:Jerala_P12",2541,201,157,6,153.741922228434,-0.238578213347284,0.33475671151642,0.273794469486276,NA
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,143,4,153.604758316654,-0.227989988439781,0.342716317172449,0.294104693525501,NA
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,228,7,210.97229803582,-0.300472305646778,0.342511786203706,0.172879238430242,NA
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,235,159,906.948261640941,0.843861971264074,1.24149667620097,0.0338139091684895,0.0655144490139484
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,130,2,114.676138168629,-0.273620774796989,0.385109642700911,0.206844216917531,NA
"DBD:Jerala_P8:AD:Jerala_P5",3406,243,140,5,164.779037241005,-0.234411468857389,0.33826576628214,0.281726780581998,NA
"DBD:Jerala_P8:AD:Jerala_P6",2744,259,208,14,221.062007082917,-0.0512860779512256,0.334131858845324,0.810295534355903,NA
"DBD:Jerala_P8:AD:Jerala_P7",2071,29996,97,3182,20163.971948789,8.15665205463354,0.717663847507695,2.66764724529994e-30,2.75656882014327e-29
"DBD:Jerala_P8:AD:Jerala_P8",3,0,1,0,0.368575197365381,0.0566406254567558,1.36957586203281,0.883530593027614,NA
"DBD:Jerala_P8:AD:Jerala_P9",3133,260,50,3,124.770959051737,-0.0301447188040656,0.374250951695729,0.882188107957902,NA
"DBD:Jerala_P8:AD:Jerala_P10",1600,1096,179,5,286.262985814633,0.41369355215959,0.517502042349104,0.0774178218209416,0.119997623822459
"DBD:Jerala_P8:AD:Jerala_P11",2190,176,189,12,182.701280058572,-0.129548788275249,0.342334239845921,0.544773854564273,NA
"DBD:Jerala_P8:AD:Jerala_P12",3965,370,292,23,329.249954281414,0.0138040469475006,0.359538757139854,0.94707355672635,0.94707355672635
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,170,21,387.259730459485,0.677528164265553,0.565871856943254,0.0131027012009221,0.03437699987318
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,193,26,364.743475271107,0.612504809576587,0.518011817998115,0.0183643155428804,0.0406638415592351
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,299,19,316.889047505699,-0.134677589320358,0.361896887782433,0.52234860529676,0.622800260161521
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,125,7,121.453625427708,-0.269141434320482,0.37351794201972,0.215615793667744,NA
"DBD:Jerala_P9:AD:Jerala_P5",7351,450,113,11,284.210864970391,-0.0904760217868246,0.376198154301949,0.658467580315824,0.729017678206805
"DBD:Jerala_P9:AD:Jerala_P6",3432,196,131,6,159.458683779029,-0.298382971665653,0.343282227689067,0.175714976265322,NA
"DBD:Jerala_P9:AD:Jerala_P7",2664,2462,186,8,543.266160899678,0.738282928940982,0.88908566036945,0.0234409004559508,0.048444527608965
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,176,17,355.880215137301,0.317988072401005,0.394195359907756,0.149036378024123,0.220006081845134
"DBD:Jerala_P9:AD:Jerala_P10",1339,69496,112,2876,25135.0035972971,8.68706300581085,0.604342591745005,2.89285210852517e-47,8.96784153642802e-46
"DBD:Jerala_P9:AD:Jerala_P11",2204,137,153,7,141.206073502,-0.308546087541091,0.356943817083636,0.162340021027189,NA
"DBD:Jerala_P9:AD:Jerala_P12",3540,219,259,13,239.251180324593,-0.255388621964698,0.35577348052495,0.240958292168079,0.317859874774912
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,192,15,256.862606249137,-0.0535041865397055,0.338007364080413,0.801777063739874,0.842545389014783
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,166,9,251.426921441108,-0.106167962481703,0.34774741409617,0.617189983858314,0.695741436349372
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,505,59,715.762297297666,0.168767145483563,0.431823080062379,0.395218958119597,0.490071508068301
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,135,5,124.689172490734,-0.213547400230711,0.351765770729777,0.322699323398901,NA
"DBD:Jerala_P10:AD:Jerala_P5",5595,7314,234,6,1388.9153207785,0.72456159925831,1.2539765862485,0.0556648083603636,0.0958671699539595
"DBD:Jerala_P10:AD:Jerala_P6",5601,2544,256,33,747.269344748762,0.482411189835533,0.665882156394414,0.0601721896365988,0.0981756778281348
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,294,13,310.22792971906,-0.166559319284556,0.355755992449328,0.434603906429923,0.528342003895201
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,187,6,189.438718272019,-0.226699106094665,0.333013661839337,0.29758500882591,NA
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,128,4934,33402.6369494633,8.88279731034835,0.629188456614123,1.08901115478395e-45,2.25062305322015e-44
"DBD:Jerala_P10:AD:Jerala_P11",2959,2000,213,5,467.105305332722,0.444728601665941,0.621022394736585,0.0710625667200637,0.112971259913947
"DBD:Jerala_P10:AD:Jerala_P12",7001,604,154,4,283.112885892474,-0.103777628165367,0.38780880103547,0.607207716289789,0.695741436349372
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,114,53,349.480536900878,0.862876491709968,0.877787710539828,0.0121630020316277,0.0342775511800416
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,212,139,859.333083135565,0.735764064790491,1.05818071233556,0.0354087705127441,0.0665255688421253
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,129,42,333.408662503641,0.511719513959463,0.548699561323898,0.041121452680082,0.0749861784166201
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,158,361,1847.42514797458,2.96466676754155,2.21056681246858,0.00362268298554484,0.0132121379472812
"DBD:Jerala_P11:AD:Jerala_P5",2224,258,269,211,1173.19678623635,1.01683123423476,1.45112925583041,0.0286237155160183,0.0572474310320365
"DBD:Jerala_P11:AD:Jerala_P6",2725,259,239,110,689.430188023148,0.627139815583486,0.916900203424702,0.0435635044850782,0.0771696365164243
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,115,71,479.959206540058,2.11477628997216,1.12781075699415,0.000528723404418931,0.00218539007159825
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,159,71,474.423892584057,0.78948825645204,0.857016928096588,0.0165679025507642,0.0383427706240444
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,61,5,125.553026937433,0.146807430542418,0.357158161929926,0.488705662350317,NA
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,152,61,717.786167455354,2.68240963689189,1.20293784950919,0.000311016533964928,0.0013773589361304
"DBD:Jerala_P11:AD:Jerala_P11",75,231,19,6,73.6444252579548,2.70730108202553,1.37384840818626,0.000611624169571565,NA
"DBD:Jerala_P11:AD:Jerala_P12",1073,8068,35,705,4713.91476375551,7.15056734959202,0.985194882227284,2.02335122297367e-13,1.25447775824368e-12
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,192,9,204.324105883134,-0.206151279604372,0.327302225555974,0.34238251592523,NA
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,152,3,180.797950541243,-0.285492091373302,0.364144689533856,0.192660555427776,NA
