"","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P12:AD:Jerala_P4",2022,117,203,12,167.416565559585,-0.00590277847810411,0.0944637802518415,0.621274707649027,NA
"DBD:Jerala_P6:AD:Jerala_P5",1499,332,158,1237,5608.3141788326,5.30789984722091,2.42822886535957,0.000619614121176414,0.00206538040392138
"DBD:Jerala_P7:AD:Jerala_P5",2053,107,63,14,136.349477947761,0.0140617773876242,0.13407249696263,0.391996269871266,NA
"DBD:Jerala_P8:AD:Jerala_P5",2825,171,140,5,144.314821297471,-0.00843408827560325,0.100985527018008,0.494852788008447,NA
"DBD:Jerala_P9:AD:Jerala_P5",3753,4194,113,11,1056.84660605636,0.668532797390827,1.48708275320968,0.0405221588808605,0.0771850645349724
"DBD:Jerala_P10:AD:Jerala_P5",3297,218,234,6,192.461712164493,-0.0140285055630018,0.12211158733194,0.329418211310625,NA
"DBD:Jerala_P11:AD:Jerala_P5",3164,6665,136,19,1628.08354213967,1.133808636054,1.98780017947351,0.0246376059965086,0.0518686442031761
"DBD:Jerala_P12:AD:Jerala_P5",4485,274,152,8,210.748215740527,-0.00378356654592589,0.0844383738819798,0.726380017512753,NA
"DBD:Jerala_P7:AD:Jerala_P6",1417,95,140,4,100.054229667904,-0.0164397100362036,0.141355618949267,0.334751421129368,NA
"DBD:Jerala_P8:AD:Jerala_P6",4016,254,208,14,240.454477938484,-0.00149540810217421,0.0720836753563851,0.871874781692984,NA
"DBD:Jerala_P9:AD:Jerala_P6",2971,159,131,6,146.069061510791,-0.00863281989266414,0.100997959514837,0.482990079311135,NA
"DBD:Jerala_P10:AD:Jerala_P6",4966,333,256,33,370.481899948482,0.0106659781838095,0.11970888463645,0.474093906873707,0.632125209164943
"DBD:Jerala_P11:AD:Jerala_P6",3874,272,81,8,180.829616975656,0.00352423116149651,0.0924824240603878,0.77146373778518,NA
"DBD:Jerala_P12:AD:Jerala_P6",3638,242,278,13,246.29107154608,-0.00591103768896187,0.0849388615403615,0.57219746971043,NA
"DBD:Jerala_P8:AD:Jerala_P7",2410,18154,97,3182,18094.0562539216,7.94749472131179,0.847650645551869,3.20702391774867e-21,1.83258509585638e-20
"DBD:Jerala_P9:AD:Jerala_P7",4101,178,186,8,192.739840951562,-0.0188392843405212,0.140011673219909,0.247823744621637,NA
"DBD:Jerala_P10:AD:Jerala_P7",1732,107,294,13,189.719178090722,-0.0134080007922506,0.13365521803736,0.418122897375255,NA
"DBD:Jerala_P11:AD:Jerala_P7",3782,382,61,3,175.754765076421,0.0088775038878551,0.128171814169261,0.602816697889126,NA
"DBD:Jerala_P12:AD:Jerala_P7",5175,265,206,8,234.927534447637,-0.0125280766447828,0.11621166406554,0.363262463243372,NA
"DBD:Jerala_P9:AD:Jerala_P8",2754,126,176,17,196.196909958121,-0.000244158225626019,0.0822003315887828,0.982009752029157,NA
"DBD:Jerala_P10:AD:Jerala_P8",11007,741,187,6,421.10220176476,-0.00587740328862603,0.145750338913155,0.782423530597938,0.869359478442153
"DBD:Jerala_P11:AD:Jerala_P8",2516,199,126,7,150.340028310576,0.000523647012145815,0.0759396499979035,0.957733282182283,NA
"DBD:Jerala_P12:AD:Jerala_P8",2890,194,197,6,170.396527451767,-0.0101599524001694,0.105490736034895,0.421481833076799,NA
"DBD:Jerala_P10:AD:Jerala_P9",1733,70229,128,4934,37201.6254506176,9.16719164164481,0.377821404599218,1.78155111727111e-130,7.12620446908443e-129
"DBD:Jerala_P11:AD:Jerala_P9",835,78,102,4,76.3536885428225,-0.00509754573271866,0.107455004696862,0.722222635702354,NA
"DBD:Jerala_P12:AD:Jerala_P9",1442,241,60,2,101.64258310675,0.0255897459935921,0.186228774111749,0.264731546196758,NA
"DBD:Jerala_P11:AD:Jerala_P10",2542,389,142,3,178.927391492805,0.0093248950596142,0.116043584215184,0.524951885068246,NA
"DBD:Jerala_P12:AD:Jerala_P10",3535,5395,201,8,1326.15004050463,0.560546467448791,1.41404963170961,0.0581388137519592,0.0977664543918961
"DBD:Jerala_P12:AD:Jerala_P11",822,15002,121,2719,15339.8206343602,8.17731354959463,0.977091841256235,2.58064370190429e-17,1.29032185095215e-16
