,trp1_l43,his1_l43,trp1_l44,his1_l44,trp1_l49,his1_l49
DBD:A_ZCON_150:AD:ZCON_152_T4_A,1052.0,224.0,756.0,75.0,30.0,1.0
DBD:A_ZCON_150:AD:ZCON_152_T4_B,18.0,0.0,320.0,62.0,22.0,5.0
DBD:A_ZCON_150:AD:ZCON_154_LL_A,11645.0,310.0,1233.0,240.0,115.0,25.0
DBD:A_ZCON_150:AD:ZCON_154_LL_B,15346.0,19931.0,1056.0,356.0,66.0,24.0
DBD:A_ZCON_150:AD:ZCON_154_resurf_A,4274.0,205.0,402.0,44.0,16.0,0.0
DBD:A_ZCON_150:AD:ZCON_154_resurf_B,6524.0,75603.0,495.0,55.0,57.0,7.0
DBD:A_ZCON_150:AD:ZCON_155_LL_A,15214.0,664.0,1543.0,267.0,151.0,12.0
DBD:A_ZCON_150:AD:ZCON_155_LL_B,5189.0,386.0,762.0,110.0,41.0,23.0
DBD:A_ZCON_150:AD:ZCON_155_cutT2_A,2327.0,180.0,448.0,43.0,46.0,2.0
DBD:A_ZCON_150:AD:ZCON_155_cutT2_B,934.0,19.0,219.0,12.0,58.0,10.0
DBD:A_ZCON_150:AD:ZCON_155_cutT4_A,2751.0,39.0,571.0,116.0,44.0,0.0
DBD:A_ZCON_150:AD:ZCON_155_cutT4_B,698.0,13.0,701.0,92.0,65.0,8.0
DBD:A_ZCON_150:AD:ZCON_155_cutT5_A,1237.0,14.0,422.0,28.0,46.0,1.0
DBD:A_ZCON_150:AD:ZCON_155_cutT5_B,1693.0,160.0,1740.0,344.0,162.0,5.0
DBD:A_ZCON_150:AD:ZCON_155_resurf_A,8087.0,289.0,1355.0,124.0,192.0,16.0
DBD:A_ZCON_150:AD:ZCON_155_resurf_B,1449.0,95.0,285.0,9.0,23.0,9.0
DBD:A_ZCON_150:AD:ZCON_15_re_loop_LL_A,3173.0,736.0,769.0,293.0,18.0,10.0
DBD:A_ZCON_150:AD:ZCON_15_re_loop_LL_B,13866.0,584.0,916.0,152.0,99.0,32.0
DBD:A_ZCON_150:AD:ZCON_15_re_loop_resurf_A,2565.0,49.0,285.0,85.0,20.0,8.0
DBD:A_ZCON_150:AD:ZCON_15_re_loop_resurf_B,7271.0,323.0,619.0,22.0,24.0,3.0
DBD:A_ZCON_150:AD:ZCON_2_CC_A,4555.0,133.0,548.0,114.0,30.0,0.0
DBD:A_ZCON_150:AD:ZCON_2_CC_B,317.0,0.0,114.0,12.0,7.0,2.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_A,5170.0,137.0,478.0,31.0,29.0,3.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_B,11346.0,325.0,1099.0,75.0,78.0,1.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT2_A,5179.0,56.0,455.0,37.0,19.0,0.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT2_B,4795.0,148.0,1244.0,125.0,167.0,11.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT4_A,2633.0,9.0,277.0,20.0,26.0,0.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT4_B,3160.0,177.0,562.0,38.0,47.0,0.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT6_A,375.0,0.0,498.0,37.0,68.0,0.0
DBD:A_ZCON_150:AD:ZCON_2_CC_resurf_cutT6_B,13.0,0.0,571.0,15.0,21.0,3.0
DBD:A_ZCON_150:AD:ZCON_37_LL_A,7413.0,230.0,779.0,68.0,60.0,4.0
DBD:A_ZCON_150:AD:ZCON_37_LL_B,5054.0,113.0,796.0,124.0,40.0,6.0
DBD:A_ZCON_150:AD:ZCON_37_resurf_A,3187.0,197.0,364.0,30.0,11.0,2.0
DBD:A_ZCON_150:AD:ZCON_37_resurf_B,1961.0,129.0,507.0,63.0,13.0,0.0
DBD:A_ZCON_150:AD:ZCON_VR_2_A,852.0,16.0,219.0,12.0,33.0,192.0
DBD:A_ZCON_150:AD:ZCON_VR_2_B,4611.0,236.0,698.0,97.0,39.0,6.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT2_A,5645.0,317.0,713.0,73.0,39.0,5.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT2_B,4673.0,370.0,730.0,55.0,57.0,1.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT4_A,3082.0,154.0,726.0,27.0,72.0,4.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT4_B,1386.0,39.0,943.0,39.0,69.0,0.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT6_A,948.0,57.0,450.0,47.0,48.0,3.0
DBD:A_ZCON_150:AD:ZCON_VR_2_cutT6_B,1040.0,1.0,628.0,23.0,48.0,1.0
DBD:A_ZCON_150:AD:ZCON_VR_2_resurf_A,4459.0,327.0,523.0,3743.0,11.0,2.0
DBD:A_ZCON_150:AD:ZCON_VR_2_resurf_B,5136.0,468.0,377.0,56.0,50.0,62.0
DBD:A_ZCON_150:AD:mALb8_A,4183.0,361.0,684.0,31.0,54.0,8.0
DBD:A_ZCON_150:AD:mALb8_B,1390.0,142.0,396.0,17.0,25.0,0.0
DBD:A_ZCON_150:AD:mALb8_cutT1_A,1841.0,11.0,272.0,17.0,27.0,2.0
DBD:A_ZCON_150:AD:mALb8_cutT1_B,2802.0,62.0,546.0,190.0,141.0,70.0
DBD:A_ZCON_150:AD:mALb8_cutT2_A,1881.0,30.0,807.0,100.0,65.0,0.0
DBD:A_ZCON_150:AD:mALb8_cutT2_B,13.0,2.0,600.0,11.0,56.0,3.0
DBD:A_ZCON_150:AD:mALb8_cutT3_A,754.0,49.0,377.0,7.0,55.0,0.0
DBD:A_ZCON_150:AD:mALb8_cutT3_B,582.0,4.0,176.0,10.0,47.0,1.0
DBD:A_ZCON_150:AD:mALb8_cutT4_A,2592.0,519.0,264.0,17.0,33.0,3.0
DBD:A_ZCON_150:AD:mALb8_cutT4_B,1393.0,12.0,209.0,35.0,21.0,1.0
DBD:A_ZCON_154:AD:A_ZCON_13,1835.0,67.0,32.0,7.0,37.0,1.0
DBD:A_ZCON_154:AD:A_ZCON_150,9654.0,1257.0,644.0,100.0,52.0,1.0
DBD:A_ZCON_154:AD:A_ZCON_154,5082.0,1016.0,520.0,74.0,92.0,16.0
DBD:A_ZCON_154:AD:A_ZCON_155,2651.0,380.0,754.0,119.0,146.0,0.0
DBD:A_ZCON_154:AD:A_ZCON_15_re_loop,5376.0,305.0,118.0,4.0,33.0,13.0
DBD:A_ZCON_154:AD:A_ZCON_162,3687.0,103.0,299.0,116.0,35.0,5.0
DBD:A_ZCON_154:AD:A_ZCON_37_3,1393.0,55.0,309.0,49.0,12.0,6.0
DBD:A_ZCON_154:AD:A_ZCON_37,1754.0,116.0,678.0,89.0,32.0,5.0
DBD:A_ZCON_154:AD:A_ZCON_6,4854.0,406.0,263.0,43.0,43.0,4.0
DBD:A_ZCON_154:AD:B_ZCON_13,2649.0,508.0,333.0,39.0,36.0,9.0
DBD:A_ZCON_154:AD:B_ZCON_150,3663.0,477.0,177.0,32.0,47.0,4.0
DBD:A_ZCON_154:AD:B_ZCON_154,4714.0,178547.0,272.0,25222.0,110.0,215.0
DBD:A_ZCON_154:AD:B_ZCON_155,1816.0,275.0,121.0,122.0,11.0,7.0
DBD:A_ZCON_154:AD:B_ZCON_15_re_loop,2591.0,194.0,292.0,70.0,71.0,16.0
DBD:A_ZCON_154:AD:B_ZCON_162,7383.0,832.0,427.0,72.0,116.0,37.0
DBD:A_ZCON_154:AD:B_ZCON_37_3,2596.0,102.0,340.0,70.0,53.0,16.0
DBD:A_ZCON_154:AD:B_ZCON_37,940.0,25.0,430.0,241.0,50.0,3.0
DBD:A_ZCON_154:AD:B_ZCON_6,2329.0,442.0,158.0,11.0,71.0,3.0
DBD:A_ZCON_154:AD:DHDr2_00_A,6248.0,1347.0,785.0,25.0,45.0,0.0
DBD:A_ZCON_154:AD:DHDr2_00_B,1118.0,199.0,435.0,82.0,10.0,11.0
DBD:A_ZCON_154:AD:DHDr2_01_A,979.0,14.0,62.0,1.0,6.0,0.0
DBD:A_ZCON_154:AD:DHDr2_01_B,2185.0,157.0,186.0,89.0,20.0,0.0
DBD:A_ZCON_154:AD:DHDr2_02_A,997.0,197.0,159.0,53.0,6.0,8.0
