"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","trp1_l67","his1_l67","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P10:AD:Jerala_P7",5186,418,1732,107,294,13,387.976067386655,-0.115969485513739,0.263599431482974,0.36456300503562,NA
"DBD:Jerala_P11:AD:Jerala_P7",1566,478,3782,382,61,3,316.253760150145,0.184649894462998,0.284607049600592,0.159920802904738,NA
"DBD:Jerala_P12:AD:Jerala_P7",3227,461,5175,265,206,8,413.978745348043,-0.0657880442552356,0.246392486644059,0.621382717275874,NA
"DBD:Jerala_P9:AD:Jerala_P8",4258,906,2754,126,176,17,462.210468802539,0.114166059402509,0.276993286974456,0.351399027501787,0.451798749645155
"DBD:Jerala_P10:AD:Jerala_P8",3338,280,11007,741,187,6,601.309712643981,-0.0419668561695102,0.296808579114206,0.688852332023002,0.729373057436119
"DBD:Jerala_P11:AD:Jerala_P8",2400,273,2516,199,126,7,265.954169787462,0.01891437437251,0.222009183453667,0.894171908479924,NA
"DBD:Jerala_P12:AD:Jerala_P8",3097,217,2890,194,197,6,293.391094340173,-0.217617375998107,0.229998498847609,0.131150670758678,NA
"DBD:Jerala_P10:AD:Jerala_P9",1561,59826,1733,70229,128,4934,52397.9632990013,8.94931806118719,0.359039029631897,1.48773461672821e-137,5.35584462022155e-136
"DBD:Jerala_P11:AD:Jerala_P9",2218,278,835,78,102,4,177.592361031805,0.0171973250014993,0.252654482980516,0.893444996062038,NA
"DBD:Jerala_P12:AD:Jerala_P9",2249,144,1442,241,60,2,183.280120934464,0.0670639537857614,0.254897029504728,0.601829102817792,NA
"DBD:Jerala_P11:AD:Jerala_P10",1520,2162,2542,389,142,3,615.347720827148,0.522401962036483,0.827032422340559,0.0231276901979264,0.0520373029453343
"DBD:Jerala_P12:AD:Jerala_P10",3112,496,3535,5395,201,8,1662.95040782089,0.756747159963609,1.32932575775681,NA,NA
"DBD:Jerala_P12:AD:Jerala_P11",1503,35130,822,15002,121,2719,23372.2568380566,8.02784833544971,0.738956420309188,7.77473745540521e-28,3.99843640563697e-27
