"","trp1_l43","his1_l43","trp1_l44","his1_l44","trp1_l49","his1_l49","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:A_ZCON_13:AD:ZCON_37_LL_B",777,104,229,7,15,5,53.4603994325689,0.00659819828430408,0.309223087686809,0.943033554669936,NA
"DBD:A_ZCON_13:AD:ZCON_37_resurf_A",1027,110,166,20,1,1,43.2895841048194,0.0267312194458319,0.384401191830559,0.808018600596079,NA
"DBD:A_ZCON_13:AD:ZCON_37_resurf_B",762,291,142,47,2,0,71.9206966133064,0.244553666821609,0.737562327071511,0.200138456533833,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_A",159,3,83,10,9,12,36.6268603088682,0.151312671301979,0.577161336183078,0.318594293317945,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_B",1394,111,652,59,6,4,87.0707199534682,-0.0207555078261452,0.315380984686909,0.824483014569234,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT2_A",1753,356,238,29,8,4,103.590238308586,0.108392565461733,0.448177059328039,0.372748158557203,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT2_B",1019,208,301,123,8,4,99.4200970826753,0.195661413341232,0.522265899070121,0.165217786843554,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT4_A",6,0,345,13,14,0,24.9286112821603,-0.326165712265213,1.00312362139744,0.207268938226356,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT4_B",5,8,327,14,14,0,25.6004489560949,-0.237599360831929,0.795569335281724,0.24845916134488,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT6_A",369,0,90,1,8,0,12.1788088353561,-2.97658528746417,2.0781328544423,0.00305143218389727,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_cutT6_B",791,25,257,89,19,1,57.6832202687226,0.00217630085379512,0.323179702087933,0.981805616020817,NA
"DBD:A_ZCON_13:AD:ZCON_VR_2_resurf_A",2713,475,195,36,0,1,122.86958802463,0.0974619826547257,0.566412839754063,0.525892291469733,0.796689198872239
"DBD:A_ZCON_13:AD:ZCON_VR_2_resurf_B",1180,109,106,9,9,9,59.2200871930328,0.0631691656847418,0.368367150265176,0.545592263362479,NA
"DBD:A_ZCON_13:AD:mALb8_A",48,1,491,82,9,8,63.1333067397582,0.0406525034457891,0.473915406855137,0.760516308333722,NA
"DBD:A_ZCON_13:AD:mALb8_B",2,7,161,8,2,1,13.0487633655357,-0.0596014645586901,0.52854178864788,0.685204368521302,NA
"DBD:A_ZCON_13:AD:mALb8_cutT1_A",1,0,103,4,4,1,9.3763022513148,-0.12671683896789,0.706036496277714,0.504303147335992,NA
"DBD:A_ZCON_13:AD:mALb8_cutT1_B",5,3,174,16,19,5,31.0360401954589,-0.022642851281034,0.463948078953929,0.863485418218807,NA
"DBD:A_ZCON_13:AD:mALb8_cutT2_B",302,0,172,12,11,1,21.1731587406507,-0.214944430172358,0.707006624240803,0.240621147669784,NA
"DBD:A_ZCON_13:AD:mALb8_cutT3_A",908,3,117,6,10,1,24.2461294302312,-0.928735513893539,1.29506276921258,0.0241990244461395,NA
"DBD:A_ZCON_13:AD:mALb8_cutT3_B",65,0,216,51,5,1,27.4772298086069,0.0239462676676881,0.502435240265995,0.866368064596139,NA
"DBD:A_ZCON_13:AD:mALb8_cutT4_B",3,0,49,1,10,0,7.10353592438986,-0.673504023671369,1.47271693839317,0.0866826579052567,NA
"DBD:A_ZCON_150:AD:A_ZCON_13",1410,56,487,20,20,0,60.3967392289897,-0.270478248190845,0.665128263140622,0.124964279124928,NA
"DBD:A_ZCON_150:AD:A_ZCON_150",6151,257,841,161,23,9,216.324459058401,-0.0248734604479561,0.298436658104801,0.782705626219897,0.919959752640212
"DBD:A_ZCON_150:AD:A_ZCON_154",5814,511,489,28,88,8,230.110090056874,-0.0315467809480242,0.336016925628322,0.747488911275927,0.907579450829942
"DBD:A_ZCON_150:AD:A_ZCON_155",6493,493,461,60,121,4,249.656045254381,-0.0575415761777667,0.359237802342901,0.574959034115015,0.825708087892563
"DBD:A_ZCON_150:AD:A_ZCON_15_re_loop",5680,234,192,20,21,6,136.330080416208,-0.0612490818388709,0.391123804466957,0.57722145340843,0.826419791917653
"DBD:A_ZCON_150:AD:A_ZCON_162",3218,145,408,52,19,0,99.0239541850327,-0.076259797642753,0.417494357321409,0.509134223332006,NA
"DBD:A_ZCON_150:AD:A_ZCON_37_3",685,87,242,77,16,5,68.7073644005436,0.0929365156159073,0.32278371708788,0.343170352466604,NA
"DBD:A_ZCON_150:AD:A_ZCON_37",3768,93,313,29,44,3,105.230444635459,-0.258331573528958,0.590938903601614,0.108246619918503,NA
"DBD:A_ZCON_150:AD:A_ZCON_6",2550,56,310,51,37,4,89.747300256421,-0.140413670160094,0.396534770608828,0.217680598868268,NA
"DBD:A_ZCON_150:AD:B_ZCON_13",2379,211,214,0,22,1,81.0249681029365,-0.0367769199555749,0.480052917873068,NA,NA
"DBD:A_ZCON_150:AD:B_ZCON_150",5976,454,380,72,23,1,185.410710631984,-0.00795981589288091,0.369395815514167,0.940522452943388,0.979653376680528
"DBD:A_ZCON_150:AD:B_ZCON_154",5195,851,484,58,57,8,267.294382899708,0.0534662482040745,0.361390515957751,0.604371846924928,0.840567398739999
"DBD:A_ZCON_150:AD:B_ZCON_155",1078,103,382,83,14,2,76.354369064332,0.0228507570050202,0.293623322128883,0.798001579432494,NA
"DBD:A_ZCON_150:AD:B_ZCON_15_re_loop",3770,357,1355,188,47,8,242.381445471636,-0.00588209071444109,0.272203408975934,0.945187594346459,0.981215904851638
"DBD:A_ZCON_150:AD:B_ZCON_162",3130,230,669,35,28,7,136.061696164885,-0.0422162492648774,0.303876691051982,0.644476175671607,0.867023055200246
"DBD:A_ZCON_150:AD:B_ZCON_37_3",3403,147,610,69,20,0,115.042348673993,-0.0841260684234855,0.428202536193173,0.47482088316117,NA
"DBD:A_ZCON_150:AD:B_ZCON_37",2152,71,403,46,16,2,76.345593844882,-0.0981342992327217,0.369017553128744,0.351838964655899,NA
"DBD:A_ZCON_150:AD:B_ZCON_6",2520,373,322,35,51,36,204.257148256738,0.120489784175183,0.419231809482763,0.298207377309181,0.616929248456033
"DBD:A_ZCON_150:AD:DHDr2_00_A",5069,192,609,57,30,0,142.69413751163,-0.121004481303596,0.493124233673529,0.358896560585573,0.676679887242506
