"","count_DBDAD_trp1_l61_2mM","count_ADDBD_trp1_l61_2mM","count_DBDAD_his1_l61_2mM","count_ADDBD_his1_l61_2mM","count_DBDAD_trp1_l62_2mM","count_ADDBD_trp1_l62_2mM","count_DBDAD_his1_l62_2mM","count_ADDBD_his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"Jerala_P10:Jerala_P11",2959,1520,2000,2162,4496,2542,310,389,2317.7831689847,1.32628585389022,0.883740150249224,0.00242643268415708,0.0141847286618341
"Jerala_P10:Jerala_P12",7001,3112,604,496,3496,3535,227,5395,3824.88499912002,0.406945433484958,0.662244948664796,0.107698820451389,0.247073764564952
"Jerala_P11:Jerala_P12",1073,1503,8068,35130,1351,822,5200,15002,25552.9446180376,6.70290670109822,0.481202370129468,1.21803268205417e-44,3.16688497334085e-43
"Jerala_P1:Jerala_P1",14,14,8,10,5,5,11,16,22.0251858911417,3.64051416513427,0.568912101818656,1.08417553101784e-10,1.05707114274239e-09
"Jerala_P2:Jerala_P2",48,48,9,12,23,23,5,8,19.8991083862475,0.764284252415637,0.484537955134549,0.00380623999585706,0.0197924479784567
"Jerala_P3:Jerala_P3",1540,1540,135,176,1676,1676,2928,4410,4229.18131430958,3.45795019980415,1.28332368009565,0.000343295363580598,0.00223141986327389
"Jerala_P4:Jerala_P4",9,9,3,4,5,5,4,5,8.35887474860199,2.50060246136969,0.630246217122876,7.95049494788914e-06,5.63762369032139e-05
"Jerala_P5:Jerala_P5",1320,1320,174,227,1909,1909,133,201,588.525508420712,0.1173842073486,0.253669924192162,0.543548477470835,0.642375473374623
"Jerala_P6:Jerala_P6",23,23,6,7,6,6,2,3,9.48018681078594,0.810046091249652,0.740292311758175,0.0126162463924908,0.0517930115060147
"Jerala_P7:Jerala_P7",1564,1564,123,160,1508,1508,79,119,458.357740432488,-0.269295386539269,0.175137117385044,0.0844470317472662,0.212479628267315
"Jerala_P8:Jerala_P8",3,3,0,0,6,6,2,3,3.39440035877304,0.432784297133154,0.696257634699053,0.0987515803841909,0.233412826362633
"Jerala_P9:Jerala_P9",7,7,13,17,6,6,10,15,24.712289913011,4.39530081389594,0.446950739564822,4.79708635698264e-23,7.48345471689292e-22
"Jerala_P10:Jerala_P10",8,8,7,9,4,4,5,8,13.3815910510137,3.58984289885727,0.516000398099727,2.45154773554125e-12,2.7317246196031e-11
"Jerala_P11:Jerala_P11",75,75,197,257,198,198,61,92,262.948729464446,3.28265707463824,0.573899886438683,7.41189174434594e-09,5.78127556058983e-08
"Jerala_P12:Jerala_P12",3174,3174,301,392,1433,1433,68,102,703.597333765195,-0.061686102371747,0.322146061798821,0.751070132792042,0.787281301462072
