"","trp1_l61_2mM","his1_l61_2mM","trp1_l62_2mM","his1_l62_2mM","ashr_baseMean_HIS_TRP","ashr_log2FoldChange_HIS_TRP","ashr_lfcSE_HIS_TRP","ashr_pvalue_HIS_TRP","ashr_padj_HIS_TRP"
"DBD:Jerala_P8:AD:Jerala_P8",3,0,6,2,2.79420442066939,0.135319050378564,0.594782316587478,0.335487783599036,0.782729992522864
"DBD:Jerala_P9:AD:Jerala_P9",7,13,6,10,21.0141363458106,4.204660577369,0.772999343685254,3.49971706928234e-08,4.58144779978779e-07
"DBD:Jerala_P10:AD:Jerala_P10",8,7,4,5,11.2849807601239,3.3478401629159,0.932757594549669,7.67027472109228e-05,0.00078894254274092
"DBD:Jerala_P11:AD:Jerala_P11",75,197,198,61,230.515769525434,3.12593713735024,0.912105766561097,0.000109235656554298,0.00104866230292126
"DBD:Jerala_P12:AD:Jerala_P12",3174,301,1433,68,640.952702263063,-0.0114867173980277,0.185705022693419,0.765850887221405,0.82367465846327
"DBD:Jerala_P2:AD:Jerala_P1",571,31951,1811,51509,77465.1156641805,8.38622263885774,0.870805283637349,1.08348791337878e-22,1.9502782440818e-21
"DBD:Jerala_P3:AD:Jerala_P1",1615,117,3445,194,687.587563474509,-0.0238044920554241,0.205686398727772,0.557265761810731,0.789404555413207
"DBD:Jerala_P4:AD:Jerala_P1",2322,174,3790,209,824.904501830556,-0.0222837902824079,0.17512123834136,0.486212613926657,0.789404555413207
"DBD:Jerala_P5:AD:Jerala_P1",3203,221,3504,184,874.244116879754,-0.0287380889467406,0.167601367864379,0.298675271248259,0.741538604478436
"DBD:Jerala_P6:AD:Jerala_P1",2453,166,2680,152,678.409096630939,-0.0242108955576768,0.15695658448671,0.35632927016362,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P1",1688,122,1340,72,397.379861453878,-0.0233969411835622,0.15212975153435,0.354312755728449,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P1",3013,238,4876,313,1119.57150920598,-0.0127726972604034,0.153328081495392,0.662513675377364,0.789404555413207
"DBD:Jerala_P9:AD:Jerala_P1",2816,1140,1977,126,1338.50618987991,0.174944224194447,0.566643829560084,0.14795430696653,0.526395386616224
"DBD:Jerala_P10:AD:Jerala_P1",4259,326,5098,337,1318.31239206655,-0.0115620358884694,0.126014398581687,0.607075895456172,0.789404555413207
"DBD:Jerala_P11:AD:Jerala_P1",1736,190,2447,188,662.42854005553,0.00150528113103811,0.114799126730309,0.944743026749188,0.944743026749188
"DBD:Jerala_P12:AD:Jerala_P1",3432,264,834,50,564.735729873478,-0.0196277504673097,0.242290060156131,0.712341611632172,0.806246398536042
"DBD:Jerala_P3:AD:Jerala_P2",3416,241,4677,1749,2632.35327111733,0.242528276834599,0.705739035826783,0.12974736574477,0.504962720736402
"DBD:Jerala_P4:AD:Jerala_P2",2577,713,1817,102,968.141637590653,0.0682359945379896,0.339623727945919,0.312680235465686,0.750432565117646
"DBD:Jerala_P5:AD:Jerala_P2",4294,280,3895,255,1103.13994561938,-0.017976447492511,0.134755414025295,0.426061502658418,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P2",2679,1363,2270,149,1540.89931107224,0.26007658464978,0.695434079412393,0.0975298874289416,0.425584963326291
"DBD:Jerala_P7:AD:Jerala_P2",2073,117,2149,119,536.822990193772,-0.0377457119485122,0.198215529396702,0.256096883423681,0.698167200236305
"DBD:Jerala_P8:AD:Jerala_P2",3599,276,3787,315,1103.3539212288,-0.00370109468020159,0.111469108297549,0.858400900346769,0.876664749290317
"DBD:Jerala_P9:AD:Jerala_P2",2271,866,2000,106,1077.8159799562,0.117377247234673,0.453911416413264,0.206110994206793,0.648485333360002
"DBD:Jerala_P10:AD:Jerala_P2",5282,415,6044,422,1624.32540836249,-0.00874503632618232,0.116583806125839,0.676550659273619,0.792656467549103
"DBD:Jerala_P11:AD:Jerala_P2",3909,383,1686,171,882.994573928305,0.00503285407663107,0.139255422960078,0.853970200799523,0.876664749290317
"DBD:Jerala_P12:AD:Jerala_P2",4263,289,3205,200,993.790504546572,-0.0194864577208618,0.13735987956381,0.391810968389292,0.789404555413207
"DBD:Jerala_P4:AD:Jerala_P3",1484,79476,1087,70559,132383.196812388,9.27889625457776,0.527071196069967,2.88181263853094e-70,4.14981019948455e-68
"DBD:Jerala_P5:AD:Jerala_P3",3212,230,2417,147,754.141014583189,-0.0178981340328428,0.133570922081852,0.422515843313044,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P3",2999,230,1166,75,561.346086637634,-0.0155948659258613,0.1799656088025,0.663319105590264,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P3",1745,135,1483,92,443.654445778702,-0.0135174137990957,0.119122130300218,0.502677812453339,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P3",2486,189,1757,89,556.661991907409,-0.0225104413645044,0.157907794452951,0.405702543074622,0.789404555413207
"DBD:Jerala_P9:AD:Jerala_P3",4845,308,3530,163,1038.12773439321,-0.0457978847335292,0.216741082617352,0.207155037045556,0.648485333360002
"DBD:Jerala_P10:AD:Jerala_P3",6396,1021,4536,309,1911.22096466188,0.0160740104569918,0.161870199832712,0.598637727419896,0.789404555413207
"DBD:Jerala_P11:AD:Jerala_P3",2653,291,3184,572,1264.30486376625,0.0604760337080279,0.290842677325431,0.261812700088615,0.698167200236305
"DBD:Jerala_P12:AD:Jerala_P3",3173,284,1265,75,621.917945792233,-0.00977573502887084,0.179040928749938,0.792052182747427,0.844855661597255
"DBD:Jerala_P5:AD:Jerala_P4",2329,191,1255,77,493.181963343686,-0.0122819331136875,0.145565575961663,0.653150115173989,0.789404555413207
"DBD:Jerala_P6:AD:Jerala_P4",1449,119,1061,66,348.721386137842,-0.0111830239333417,0.119326803334675,0.593282805490662,0.789404555413207
"DBD:Jerala_P7:AD:Jerala_P4",1048,80,1347,88,337.086929617865,-0.012448563749898,0.135468196570743,0.613148804619378,0.789404555413207
"DBD:Jerala_P8:AD:Jerala_P4",2153,171,2412,169,656.093957474948,-0.00838731529579775,0.114778207850425,0.684179771438977,0.792656467549103
"DBD:Jerala_P9:AD:Jerala_P4",1896,102,1269,67,386.755130712104,-0.0534654345251485,0.235855217107459,0.180043013873887,0.617290333281899
"DBD:Jerala_P10:AD:Jerala_P4",1905,160,3674,219,785.182423995357,-0.0154781495873206,0.170947485446644,0.641991967110847,0.789404555413207
"DBD:Jerala_P11:AD:Jerala_P4",1747,262,2329,351,876.661713795429,0.0605755926060494,0.273637763624338,0.213473626178963,0.654046854675972
"DBD:Jerala_P12:AD:Jerala_P4",1707,113,2022,117,494.774066576318,-0.0238184523790959,0.162428299809729,0.392190938015283,0.789404555413207
