PPI,trp1,his1
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_100_swap,83.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_10_swap,83.0,1.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_11_swap,545.0,64.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_12_swap,3.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_13_swap,135.0,605.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_14_swap,46.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_15_swap,656.0,67.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_16_swap,76.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_17_swap,50.0,7.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_18_swap,154.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_19_swap,206.0,9.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_1_swap,27.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_20_swap,151.0,6.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_21_swap,91.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_22_swap,34.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_23_swap,73.0,3.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_24_swap,497.0,31.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_25_swap,115.0,7.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_26_swap,219.0,12.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_27_swap,426.0,30.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_28_swap,308.0,69.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_29_swap,288.0,50.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_2_swap,26.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_30_swap,782.0,98.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_31_swap,23.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_32_swap,2.0,5.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_33_swap,19.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_34_swap,1.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_35_swap,100.0,14.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_36_swap,7.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_37_swap,140.0,12.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_38_swap,119.0,4.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_39_swap,338.0,14.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_3_swap,2.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_40_swap,81.0,9.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_41_swap,618.0,37.0
