,count_DBDAD_trp1,count_ADDBD_trp1,count_DBDAD_his1,count_ADDBD_his1
A_HT_DHD_100_swap:B_HT_DHD_80_swap,379.0,311.0,55.0,46.0
A_HT_DHD_100_swap:B_HT_DHD_81_swap,217.0,178.0,118.0,100.0
A_HT_DHD_100_swap:B_HT_DHD_82_swap,256.0,210.0,72.0,61.0
A_HT_DHD_100_swap:B_HT_DHD_83_swap,116.0,95.0,45.0,38.0
A_HT_DHD_100_swap:B_HT_DHD_84_swap,44.0,36.0,23.0,19.0
A_HT_DHD_100_swap:B_HT_DHD_85_swap,162.0,133.0,77.0,65.0
A_HT_DHD_100_swap:B_HT_DHD_86_swap,408.0,335.0,138.0,117.0
A_HT_DHD_100_swap:B_HT_DHD_87_swap,484.0,397.0,236.0,200.0
A_HT_DHD_100_swap:B_HT_DHD_88_swap,38.0,31.0,34.0,28.0
A_HT_DHD_100_swap:B_HT_DHD_89_swap,324.0,266.0,118.0,100.0
A_HT_DHD_100_swap:B_HT_DHD_8_swap,153.0,125.0,37.0,31.0
A_HT_DHD_100_swap:B_HT_DHD_90_swap,36.0,29.0,3.0,2.0
A_HT_DHD_100_swap:B_HT_DHD_91_swap,153.0,125.0,113.0,95.0
A_HT_DHD_100_swap:B_HT_DHD_92_swap,227.0,186.0,46.0,39.0
A_HT_DHD_100_swap:B_HT_DHD_93_swap,200.0,164.0,75.0,63.0
A_HT_DHD_100_swap:B_HT_DHD_94_swap,166.0,300.0,208.0,404.0
A_HT_DHD_100_swap:B_HT_DHD_95_swap,272.0,223.0,79.0,67.0
A_HT_DHD_100_swap:B_HT_DHD_96_swap,21.0,17.0,4.0,3.0
A_HT_DHD_100_swap:B_HT_DHD_97_swap,80.0,65.0,6.0,5.0
A_HT_DHD_100_swap:B_HT_DHD_98_swap,218.0,179.0,96.0,81.0
A_HT_DHD_100_swap:B_HT_DHD_99_swap,293.0,240.0,138.0,117.0
A_HT_DHD_100_swap:B_HT_DHD_9_swap,192.0,157.0,55.0,46.0
A_HT_DHD_100_swap:B_ZCON_13_swap,139.0,114.0,159.0,135.0
A_HT_DHD_100_swap:B_ZCON_150_swap,234.0,192.0,100.0,85.0
A_HT_DHD_100_swap:B_ZCON_154_swap,116.0,95.0,57.0,48.0
A_HT_DHD_100_swap:B_ZCON_155_swap,92.0,75.0,137.0,115.0
A_HT_DHD_100_swap:B_ZCON_15_re_loop_swap,65.0,53.0,67.0,56.0
A_HT_DHD_100_swap:B_ZCON_162_swap,330.0,271.0,144.0,122.0
A_HT_DHD_100_swap:B_ZCON_37_3_swap,234.0,192.0,178.0,151.0
A_HT_DHD_100_swap:B_ZCON_37_swap,221.0,181.0,108.0,91.0
A_HT_DHD_100_swap:B_ZCON_6_swap,305.0,250.0,103.0,87.0
A_HT_DHD_10_swap:A_HT_DHD_11_swap,367.0,509.0,87.0,226.0
A_HT_DHD_10_swap:A_HT_DHD_12_swap,88.0,947.0,65.0,361.0
A_HT_DHD_10_swap:A_HT_DHD_13_swap,34.0,335.0,32.0,1221.0
A_HT_DHD_10_swap:A_HT_DHD_14_swap,2.0,470.0,5.0,201.0
A_HT_DHD_10_swap:A_HT_DHD_15_swap,333.0,598.0,140.0,280.0
A_HT_DHD_10_swap:A_HT_DHD_16_swap,1654.0,357.0,740.0,268.0
A_HT_DHD_10_swap:A_HT_DHD_17_swap,195.0,319.0,82.0,240.0
A_HT_DHD_10_swap:A_HT_DHD_18_swap,735.0,636.0,418.0,398.0
A_HT_DHD_10_swap:A_HT_DHD_19_swap,561.0,911.0,257.0,397.0
A_HT_DHD_10_swap:A_HT_DHD_1_swap,113.0,68.0,60.0,248.0
A_HT_DHD_10_swap:A_HT_DHD_20_swap,683.0,374.0,339.0,197.0
A_HT_DHD_10_swap:A_HT_DHD_21_swap,91.0,67.0,40.0,33.0
A_HT_DHD_10_swap:A_HT_DHD_22_swap,4.0,309.0,0.0,85.0
A_HT_DHD_10_swap:A_HT_DHD_23_swap,98.0,44.0,45.0,31.0
A_HT_DHD_10_swap:A_HT_DHD_24_swap,789.0,70.0,293.0,14.0
A_HT_DHD_10_swap:A_HT_DHD_25_swap,902.0,282.0,387.0,163.0
A_HT_DHD_10_swap:A_HT_DHD_26_swap,13.0,67.0,6.0,7.0
A_HT_DHD_10_swap:A_HT_DHD_27_swap,1179.0,143.0,616.0,74.0
A_HT_DHD_10_swap:A_HT_DHD_28_swap,439.0,671.0,248.0,409.0
A_HT_DHD_10_swap:A_HT_DHD_29_swap,360.0,768.0,173.0,1391.0
A_HT_DHD_10_swap:A_HT_DHD_2_swap,11.0,874.0,1.0,1604.0
A_HT_DHD_10_swap:A_HT_DHD_30_swap,975.0,919.0,691.0,519.0
A_HT_DHD_10_swap:A_HT_DHD_31_swap,54.0,177.0,22.0,91.0
A_HT_DHD_10_swap:A_HT_DHD_32_swap,352.0,39.0,195.0,9.0
A_HT_DHD_10_swap:A_HT_DHD_33_swap,0.0,0.0,1.0,0.0
A_HT_DHD_10_swap:A_HT_DHD_34_swap,2.0,778.0,2.0,450.0
A_HT_DHD_10_swap:A_HT_DHD_35_swap,106.0,129.0,48.0,54.0
A_HT_DHD_10_swap:A_HT_DHD_36_swap,253.0,189.0,120.0,65.0
A_HT_DHD_10_swap:A_HT_DHD_37_swap,79.0,139.0,34.0,67.0
A_HT_DHD_10_swap:A_HT_DHD_38_swap,3.0,100.0,3.0,40.0
A_HT_DHD_10_swap:A_HT_DHD_39_swap,5.0,231.0,4.0,109.0
A_HT_DHD_10_swap:A_HT_DHD_3_swap,245.0,742.0,103.0,350.0
