PPI,trp1,his1
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_98_swap,148.0,5.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_99_swap,556.0,25.0
DBD:A_HT_DHD_100_swap:AD:B_HT_DHD_9_swap,360.0,57.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_13_swap,725.0,147.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_150_swap,377.0,48.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_154_swap,502.0,13.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_155_swap,363.0,65.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_15_re_loop_swap,555.0,59.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_162_swap,274.0,6.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_37_3_swap,234.0,46.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_37_swap,671.0,24.0
DBD:A_HT_DHD_100_swap:AD:B_ZCON_6_swap,793.0,94.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_11_swap,353.0,20.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_12_swap,176.0,21.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_13_swap,322.0,3643.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_14_swap,94.0,0.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_15_swap,1378.0,170.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_16_swap,306.0,41.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_17_swap,633.0,96.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_18_swap,280.0,44.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_19_swap,522.0,7.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_1_swap,26.0,1581.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_20_swap,656.0,92.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_21_swap,147.0,6.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_22_swap,233.0,4.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_23_swap,57.0,2.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_24_swap,154.0,16.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_25_swap,822.0,91.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_26_swap,356.0,52.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_27_swap,691.0,99.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_28_swap,216.0,8.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_29_swap,375.0,28.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_2_swap,63.0,1428.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_30_swap,1130.0,103.0
DBD:A_HT_DHD_10_swap:AD:A_HT_DHD_31_swap,165.0,4.0
