PPI,trp1,his1
DBD:1002__mALb8x1_rprtc_A:AD:1019__BW2_2H_A,2548.0,412.0
DBD:1002__mALb8x1_rprtc_A:AD:1019__BW2_2H_B,3089.0,223.0
DBD:1002__mALb8x1_rprtc_A:AD:1020__BW3_2H_A,1958.0,1020.0
DBD:1002__mALb8x1_rprtc_A:AD:1020__BW3_2H_B,1991.0,683.0
DBD:1002__mALb8x1_rprtc_A:AD:1021__BW5_2H_A,4813.0,1088.0
DBD:1002__mALb8x1_rprtc_A:AD:1021__BW5_2H_B,1245.0,186.0
DBD:1002__mALb8x1_rprtc_A:AD:1022__BW8_2H_A,4258.0,451.0
DBD:1002__mALb8x1_rprtc_A:AD:1022__BW8_2H_B,1449.0,206.0
DBD:1002__mALb8x1_rprtc_A:AD:1023__BW9_2H_A,2911.0,590.0
DBD:1002__mALb8x1_rprtc_A:AD:1023__BW9_2H_B,1518.0,256.0
DBD:1002__mALb8x1_rprtc_A:AD:1024__BW11_2H_A,2988.0,570.0
DBD:1002__mALb8x1_rprtc_A:AD:1024__BW11_2H_B,1577.0,388.0
DBD:1002__mALb8x1_rprtc_A:AD:1025__BW5_2Hx1_A,2074.0,430.0
DBD:1002__mALb8x1_rprtc_A:AD:1025__BW5_2Hx1_B,3648.0,664.0
DBD:1002__mALb8x1_rprtc_A:AD:1026__BW5_2Hx2_A,2677.0,563.0
DBD:1002__mALb8x1_rprtc_A:AD:1026__BW5_2Hx2_B,2156.0,322.0
DBD:1002__mALb8x1_rprtc_A:AD:1027__BW5_2Hx12j_A,2050.0,654.0
DBD:1002__mALb8x1_rprtc_A:AD:1027__BW5_2Hx12j_B,617.0,133.0
DBD:1002__mALb8x1_rprtc_A:AD:1028__BW8_2Hx1_A,1637.0,143.0
DBD:1002__mALb8x1_rprtc_A:AD:1028__BW8_2Hx1_B,1035.0,214.0
DBD:1002__mALb8x1_rprtc_A:AD:1029__BW8_2Hx2_A,3006.0,2913.0
DBD:1002__mALb8x1_rprtc_A:AD:1029__BW8_2Hx2_B,1814.0,445.0
DBD:1002__mALb8x1_rprtc_A:AD:1030__BW8_2Hx12j_A,2091.0,382.0
DBD:1002__mALb8x1_rprtc_A:AD:1030__BW8_2Hx12j_B,1634.0,345.0
DBD:1002__mALb8x1_rprtc_A:AD:1031__BW11_2Hx1_A,374.0,1085.0
DBD:1002__mALb8x1_rprtc_A:AD:1031__BW11_2Hx1_B,830.0,297.0
DBD:1002__mALb8x1_rprtc_A:AD:1032__BW11_2Hx2_A,8.0,0.0
DBD:1002__mALb8x1_rprtc_A:AD:1032__BW11_2Hx2_B,1407.0,225.0
DBD:1002__mALb8x1_rprtc_A:AD:1033__BW11_2Hx12j_A,189.0,29.0
DBD:1002__mALb8x1_rprtc_A:AD:1033__BW11_2Hx12j_B,2077.0,269.0
DBD:1002__mALb8x1_rprtc_A:AD:1034__BW1_2Hx1_A,1818.0,400.0
DBD:1002__mALb8x1_rprtc_A:AD:1034__BW1_2Hx1_B,821.0,219.0
DBD:1002__mALb8x1_rprtc_A:AD:1035__BW2_2Hx1_A,964.0,153.0
DBD:1002__mALb8x1_rprtc_A:AD:1035__BW2_2Hx1_B,1155.0,241.0
DBD:1002__mALb8x1_rprtc_A:AD:1036__BW3_2Hx1_A,1466.0,285.0
DBD:1002__mALb8x1_rprtc_A:AD:1036__BW3_2Hx1_B,867.0,169.0
DBD:1002__mALb8x1_rprtc_A:AD:1037__BW9_2Hx1_A,2243.0,478.0
DBD:1002__mALb8x1_rprtc_A:AD:1037__BW9_2Hx1_B,899.0,156.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P1,400.0,17.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P2,235.0,22.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P3,569.0,61.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P4,771.0,39.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P5,358.0,26.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P6,275.0,19.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P7,869.0,78.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P8,1510.0,85.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P9,825.0,25.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P10,1810.0,146.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P11,1458.0,174.0
DBD:1002__mALb8x1_rprtc_A:AD:Jerala_P12,606.0,106.0
DBD:1002__mALb8x1_rprtc_B:AD:1003__mALb8x2_fdrtc_A,1374.0,241.0
DBD:1002__mALb8x1_rprtc_B:AD:1003__mALb8x2_fdrtc_B,1881.0,589.0
DBD:1002__mALb8x1_rprtc_B:AD:1004__mALb8x2_rprtc_A,4592.0,1047.0
DBD:1002__mALb8x1_rprtc_B:AD:1004__mALb8x2_rprtc_B,3703.0,557.0
DBD:1002__mALb8x1_rprtc_B:AD:1005__mALb8x12_fdrtc_A,4356.0,76998.0
DBD:1002__mALb8x1_rprtc_B:AD:1005__mALb8x12_fdrtc_B,3805.0,723.0
DBD:1002__mALb8x1_rprtc_B:AD:1006__mALb8x12_rprtc_A,2252.0,8308.0
DBD:1002__mALb8x1_rprtc_B:AD:1006__mALb8x12_rprtc_B,581.0,38.0
DBD:1002__mALb8x1_rprtc_B:AD:1007__mALb8x12j_fdrtc_A,1907.0,3662.0
DBD:1002__mALb8x1_rprtc_B:AD:1007__mALb8x12j_fdrtc_B,2256.0,536.0
DBD:1002__mALb8x1_rprtc_B:AD:1008__mALb8x12j_rprtc_A,2766.0,730.0
DBD:1002__mALb8x1_rprtc_B:AD:1008__mALb8x12j_rprtc_B,5435.0,2290.0
DBD:1002__mALb8x1_rprtc_B:AD:1009__IL8_2H_A,556.0,74.0
DBD:1002__mALb8x1_rprtc_B:AD:1009__IL8_2H_B,1695.0,1447.0
DBD:1002__mALb8x1_rprtc_B:AD:1010__IL9_2H_A,5971.0,552.0
DBD:1002__mALb8x1_rprtc_B:AD:1010__IL9_2H_B,3669.0,1579.0
DBD:1002__mALb8x1_rprtc_B:AD:1011__IL14_2H_A,5503.0,4428.0
DBD:1002__mALb8x1_rprtc_B:AD:1011__IL14_2H_B,2941.0,623.0
DBD:1002__mALb8x1_rprtc_B:AD:1012__IL8_2Hx1_A,923.0,133.0
DBD:1002__mALb8x1_rprtc_B:AD:1012__IL8_2Hx1_B,2173.0,328.0
DBD:1002__mALb8x1_rprtc_B:AD:1013__IL9_2Hx1_A,2971.0,818.0
DBD:1002__mALb8x1_rprtc_B:AD:1013__IL9_2Hx1_B,4097.0,1795.0
DBD:1002__mALb8x1_rprtc_B:AD:1014__IL9_2Hx2_A,2699.0,474.0
DBD:1002__mALb8x1_rprtc_B:AD:1014__IL9_2Hx2_B,401.0,37.0
DBD:1002__mALb8x1_rprtc_B:AD:1015__IL9_2Hx12j_A,6096.0,1682.0
